text,anger,fear,joy,sadness
#RIPKara i could have seen her at a local mall or any school football games. im disheartened,0.0,0.0,0.0,0.646
"#RiceFODays now I am Alex Butler's class on financial management. Starts off with a great, relevant class discussion: movies and sunk costs",0.0,0.0,0.0,0.229
#Talking about our #Problems is our greatest #Addiction#Break the #habitTalk about ur #Joys#quote  #problemsolving #behappy,0.0,0.0,0.494,0.0
#Talking about our #Problems is our greatest #Addiction#Break the #habitTalk about ur #Joys#quote #optimism #problemsolving #behappy,0.0,0.0,0.34,0.0
#Talking about our #Problems is our greatest #Addiction\n\n#Break the #habit\n\nTalk about ur #Joys\n\n#quote #optimism #problemsolving #behappy,0.0,0.0,0.375,0.0
#Taurus will react angrily when she can't take being provoked any longer.,0.438,0.0,0.0,0.0
"#Terencecutcher #Tulsa the man onthe helicopter said he looks like a bad dude, that is the problem, when they see black they see bad, ",0.0,0.0,0.0,0.521
"#Terencecutcher #Tulsa the man onthe helicopter said he looks like a bad dude, that is the problem, when they see black they see bad, #sad",0.0,0.0,0.0,0.667
"#TerribleDebateQuestions Madame Secretary, isn't it true that Russia is behind all terrorism?",0.0,0.479,0.0,0.0
#TerrorStatePak we r confirm that #navazsharif is post graduate distinction student of university of #terrorism. He can't spare himself.,0.0,0.688,0.0,0.0
#Terrorism can be destroyed easily if #wholeworld came together great strength..they could destroy this #fear from #humanity..,0.0,0.5,0.0,0.0
#ThankYouCGI - Do not grow weary in doing good. #CGI2016,0.0,0.0,0.0,0.375
#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; ! #isthereahelplineforthis,0.0,0.0,0.4,0.0
#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; #delight! #isthereahelplineforthis,0.0,0.0,0.404,0.0
#Trends thread;'P)..it was in my #drafts&amp;now #posted 2 mins after my #birthday..so #close:'O!:''/...but anyway it #really was the #start of,0.0,0.312,0.0,0.0
"#Trump is #afraid of the big, bad #Hillary. #election #PresidentialDebate #PresidentialElection2016 #orangehitler #skip #hide #coward ",0.0,0.5,0.0,0.0
"#Trump is #afraid of the big, bad #Hillary. #election #PresidentialDebate #PresidentialElection2016 #orangehitler #skip #hide #coward #fear",0.0,0.531,0.0,0.0
#Trump â€™s â€˜Make America Great Againâ€™ plan is exactly like the first 15 minutes of the #movie #ChildrenOfMen.\n\n#cages #terrorism #refugees,0.0,0.521,0.0,0.0
#WTF @NYSCHereToHelp @NYSC allows #gym #bully #atmosphere! #jumpship #nasty #atmosphere #unprofessional,0.0,0.479,0.0,0.0
"#WeirdWednesday OKAY! That jump-scared the #Poop out of me right there. Bad dog, BAD! Total code-brown in my favorite pants. #Damnit ",0.0,0.875,0.0,0.0
"#WeirdWednesday OKAY! That jump-scared the #Poop out of me right there. Bad dog, BAD! Total code-brown in my favorite pants. #Damnit #horror",0.0,0.833,0.0,0.0
"#Zumba, #PiYo and #HIIT sessions. Sweaty, burning but sooooooo good! #missedoutonsummerbikinibodybutwintersunbodywilldo",0.333,0.0,0.0,0.0
#aliens #zombie #gore #slash #ghost #sith #horror I love it all. ðŸ”ª,0.0,0.333,0.0,0.0
"#bestadvice from a #movienight, pickup the #phone &amp; #start dialing, no1 will knw a #startups #product #service if thy dnt tell the #world",0.0,0.333,0.0,0.0
#beyond naming &amp; shaming ; lies a vast space b/w #sanctions &amp; #terror state...v *wait til Others #impose it...&amp; do not hv COURAGE #ourselves,0.0,0.667,0.0,0.0
#burning the last of @Yan,0.356,0.0,0.0,0.0
#disgracefulesin I resent all men in some way; for some or no reason at all. #esinscountdown,0.521,0.0,0.0,0.0
#firsttweetever sippin #hotchocolate wondering #why I finally gave in &lt;3 haha #hellloooootwitter - ...its because #facebookisforfamily ,0.292,0.0,0.0,0.0
#firsttweetever sippin #hotchocolate wondering #why I finally gave in &lt;3 haha #hellloooootwitter - ...its because #facebookisforfamily #rage,0.542,0.0,0.0,0.0
#food  #Ð´ÐµÐ½ÑŒÐ³Ð¸ #smile   microsoft_.net_framework_4.5.1_full_plus_by_gora,0.0,0.0,0.375,0.0
#goksfillyourhouseforfree should be retitled fill your house with old trash repainted ...  #junk #trash,0.0,0.396,0.0,0.0
#goksfillyourhouseforfree should be retitled fill your house with old trash repainted ... #shocking #junk #trash,0.0,0.417,0.0,0.0
#haikuchallenge #haiku\n\nThe crisp autumn air\nMy freedom purchased through death\nNo one will mourn me,0.0,0.0,0.0,0.708
#hate going to the doctor on so many levels but least I can go sleep with a #smile just watched #Dwight on live nation,0.0,0.0,0.34,0.0
#hillaryclinton and their followers are #nervous of a #BernieSanders #millennials saying yes to a #woman #POTUS  #JillStein  not #warmonger,0.0,0.521,0.0,0.0
#india will take #revenge  by making 3 new movies like #phantom and they will be like #ghus_k_maren_ge this is how indian army take revenge,0.5,0.0,0.0,0.0
"#internationaldayofpeace Want peace,prepare for war. Destroy terror states like Pakistan",0.0,0.583,0.0,0.0
#nana 4 hoco bc my dream since freshman year awe ðŸ˜™â¤â¤â¤ @thecandeyman,0.0,0.25,0.0,0.0
#nobody #understand what #advocate mean if you do then use it #right #never be #afraid so #positive word is. I can that is #POWERFUL,0.0,0.417,0.0,0.0
"#ntfc mourinho is worried,  bringing Ibra  and Rushford on. ",0.0,0.5,0.0,0.0
"#ntfc mourinho is worried,  bringing Ibra  and Rushford on.  #panic",0.0,0.646,0.0,0.0
#panic Panic attack from fear of starting new medication,0.0,0.917,0.0,0.0
"#personaldevelopment\n\nToday is a gift, that's why it's called the present... #happiness #optimism #entrepreneur #personaldevelopment â€¦",0.0,0.0,0.646,0.0
#picoftheday : How...why... Really... !!\n    #funny #picoftheday #lol #random #laugh #chair #of #despair #funnypics  #virgin #cafe #i...,0.0,0.362,0.0,0.146
"#rocklandcounty get to ravis in suffern, ny. Great food, new #chef, terrific atmosphere. Say 'twitter' to server and get free #appetizer",0.0,0.125,0.0,0.0
#smackdev #ptp #start word,0.0,0.312,0.0,0.0
#smile every morning to a positive head start with your #clients relations,0.0,0.0,0.562,0.0
#smile is the #respect we give everyone.,0.0,0.0,0.583,0.0
#sober life,0.0,0.0,0.0,0.312
#start ur day wit a smile\n#buviobby,0.0,0.167,0.0,0.0
#terror @sjdonghaev i love you,0.0,0.292,0.0,0.0
#terror test ................,0.0,0.667,0.0,0.0
#ukedchat A4 Just go outside (or to the gym hall) and play! \n #education  #learning,0.0,0.0,0.688,0.0
#ukedchat A4 Just go outside (or to the gym hall) and play! \n#education #playful #learning,0.0,0.0,0.481,0.0
#vinb I'm alot more interested in hearing bout differences between parties political ideologies. Parties murky origins r irrefutable #vinb,0.0,0.0,0.0,0.417
#welfarereform should not be a 'model' for #snap.,0.458,0.0,0.0,0.0
#welfarereform should not be a 'model' for .,0.417,0.0,0.0,0.0
"$100 says Teufel is 'reassigned' within the organization before next year, but I wish it was sooner... #Mets #thirdbasecoach  #lgm",0.0,0.417,0.0,0.0
"$100 says Teufel is 'reassigned' within the organization before next year, but I wish it was sooner... #Mets #thirdbasecoach #terrible #lgm",0.0,0.417,0.0,0.0
"$8 million in box office doesnt do this movie justice. Political or not, #SnowdenMovie is a terrific thriller and love story. @Snowden",0.0,0.271,0.0,0.0
$FOGO max pessimism here and no bottom (yet).  Has a solid PE ratio for a restaurant.  Let's catch it at 8 level or 10 level if it comes.,0.0,0.0,0.0,0.438
$SRPT Why would Etep patients &amp; Mom's advocate for a drug if it did not work? Anyone listen to the Etep MD's @ Adcomm.. all were elated.,0.0,0.0,0.22,0.0
&gt;.&lt; too much clutter in my brain with recent little changes that I haven't yet processed... #dying #panic #IveBeenBusierWhyAmIOverwhelmed :(,0.0,0.693,0.0,0.0
*Still waits for Yang. Guess she really needs her sleep or something. Kittens feeling kinda dejected right now.* #Offline,0.0,0.0,0.0,0.542
*ZETH voice*: Hit The Target \n (holds up upside down cheering towel),0.0,0.0,0.462,0.0
*violently screams at the four winds* WE AINT EVER GETTING OLDER *cute jovial rhythm starts* *moves hips along and waves arms in the air*,0.0,0.0,0.604,0.0
- the joyous occasion of laughing at the ostentatious display of disrespect. Bruce just scoffed at the entire scene. This wasn't Batmanâ€™s -,0.0,0.0,0.5,0.0
"-- haired man strides close and watches as the Major flinches away from him, the reaction draws a growl from his throat.  -- (@DocHQuinzel)",0.322,0.0,0.0,0.0
"-- used as a pawn in this red woman's game] For now, try not to fret and act as if nothing is amiss. This is a royal -- @TheLadyOfGlenco",0.0,0.0,0.0,0.354
. @KotakBankLtd @udaykotak official got in touch. Issue not addressed. #unhappy #patheticservices,0.0,0.0,0.0,0.729
. @UNFCCC @uncclearn The problem is the time it has taken to do this means its going to be out of date already. #sadly,0.0,0.0,0.0,0.445
... flat party and I instantly get bollocked about it. ,0.542,0.0,0.0,0.0
... flat party and I instantly get bollocked about it. #fuming,0.69,0.0,0.0,0.0
... in the same speech.  However he did mention foreign hand and funding in terrorism in the country. ðŸ‘\n#ProudOfYouPrimeMinister,0.0,0.417,0.0,0.0
..... wakes up and says 'have you tried changing her nappy?' ðŸ˜¡ðŸ‘ŠðŸ¼ !!!!,0.667,0.0,0.0,0.0
..... wakes up and says 'have you tried changing her nappy?' ðŸ˜¡ðŸ‘ŠðŸ¼ #rage!!!!,0.688,0.0,0.0,0.0
.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine.  ,0.517,0.0,0.0,0.0
.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,0.792,0.0,0.0,0.0
".@Harry_Styles I hope you never go a day without something to make you smile. You deserve all good things. Please follow me?\nâ¤ï¸ðŸ’›ðŸ’šðŸ’™ðŸ’œ\n311,553",0.0,0.0,0.6,0.0
.@LEAFYSZERKER @markiplier is that an insult? Sounds like a job well done. it's red so it's done the job it was suppose to do #justsaying,0.521,0.0,0.0,0.0
.@POTUS Obama describes his temperament as 'steady &amp; on the buoyant side.',0.0,0.0,0.22,0.0
".@REDBLACKSâ€™ Chris Williams: 5 yards shy of joining 1,000-yard club. Bowman (1,279), Walker (1,168) &amp; Roosevelt (1,095) already there. #CFL",0.0,0.208,0.0,0.0
.@RepDelBene: 'Today's proceedings and the entire process is an insult to our constituents.',0.593,0.0,0.0,0.0
".@SimonNRicketts if you don't know what a patronus is, I don't think we should have to tell you ",0.0,0.271,0.0,0.0
".@SimonNRicketts if you don't know what a patronus is, I don't think we should have to tell you #shocking",0.0,0.438,0.0,0.0
".@Tolumanda love it! so true. As @Deedeey_ taught me, fear can be an illusion. #coaching  #courage",0.0,0.375,0.0,0.0
".@Tolumanda love it! so true. As @Deedeey_ taught me, fear can be an illusion. #coaching #fear #courage",0.0,0.354,0.0,0.0
.@Travelanswerman: When U ride on a pile of salt life is extra sweet! Always salty always savory! #surfing #aloha #smiling â€¦,0.0,0.0,0.68,0.0
.@billradkeradio is not a fan of The Beat Happening. But that's not to discourage aspiring other Olympia musicians! #KUOWrecord,0.0,0.0,0.0,0.274
.\nWe express our deep concern about the suspension of   \n@MohammedSomaa01  please reactivate it. he never violated T.roles @Support,0.0,0.562,0.0,0.0
15 minutes of yoga to your breakfast routine will change your day #preparation #sunriseyoga #bodyawareness #health #yoga  #stretch,0.0,0.0,0.521,0.0
15 minutes of yoga to your breakfast routine will change your day #preparation #sunriseyoga #bodyawareness #health #yoga #smile #stretch,0.0,0.0,0.625,0.0
"1Pet 4:7  But the end of all things is at hand: be ye therefore #sober, and #watch unto prayer",0.0,0.0,0.0,0.479
2 applications for my dbs and still waiting. Been over a year now. Going to loose my job ðŸ‘ðŸ¿ @GOVUK  #thanks #unhappy #crb,0.0,0.0,0.0,0.792
2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited! ,0.0,0.0,0.792,0.0
2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited! #smiling,0.0,0.0,0.88,0.0
"2,034 words today #amwriting #horror #novel 42,080 'Magnitude' total so far. 25Kish to go.",0.0,0.351,0.0,0.0
"236:416 While she was in her dull and sleeping hour,\nA crew of patches, rude mechanicals,\n#AMNDBots",0.0,0.0,0.0,0.5
"2day's most used term is, #terrorism, with many addresses and forms. On my #opinion, the only form of terrorism in this world is, injustice!",0.0,0.604,0.0,0.0
"3 #tmobile #stores, #original #note7 #customer and zero #results... What's going on guys?  #customerservice #2hour #waittime",0.0,0.5,0.0,0.0
"3 #tmobile #stores, #original #note7 #customer and zero #results... What's going on guys? #terrible #customerservice #2hour #waittime",0.0,0.5,0.0,0.0
"3 weeks into the course and have had the kitchen sink thrown at me, I m still pulling knives and forks out of my ears",0.0,0.0,0.0,0.562
"339:709 A local habitation and a name.\nSuch tricks hath strong imagination,\nThat, if it would but apprehend some joy,\n#AMNDBots",0.0,0.396,0.0,0.0
"342:147 And waxen in their mirth, and neeze, and swear\nA merrier hour was never wasted there.--\n#AMNDBots",0.0,0.0,0.28,0.0
3:45am and off to the hospital! Elouise's waters have gone!  #Labour #LittleSister #superexcited,0.0,0.479,0.0,0.0
3:45am and off to the hospital! Elouise's waters have gone! #panic #Labour #LittleSister #superexcited,0.0,0.688,0.0,0.0
3years today marks the anniversary of that horrid Westgate Attack in Nairobi. My heart out to all those of us who lost our family &amp; friendsðŸ•¯,0.0,0.521,0.0,0.0
5am blues while riding a cab home:\n- my belly is much bigger than the rest of my body\n- but i couldnt be preggy\n- how to lose it in a day,0.0,0.0,0.0,0.542
6. 5 minutes to perform and I'm #nervous I wish these noises would stop #handicapped #annoyed,0.0,0.875,0.0,0.0
630am meeting Olympic House #10golds24 .  #neverquit #believe #dreambig #TeamTTO #going4gold,0.271,0.0,0.0,0.0
630am meeting Olympic House #10golds24 .  #relentless #neverquit #believe #dreambig #TeamTTO #going4gold,0.208,0.0,0.0,0.0
7 pax enjoyed the #gloom @Clayorangecrush @F3LakeMurray,0.0,0.0,0.0,0.312
75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.,0.438,0.0,0.0,0.0
81' Goal scorer Vidar Kjartansson comes off in favor of Dor Micha! Another terrific performance by @Vidarkjartans #YallaMaccabi,0.0,0.229,0.0,0.0
"9/30 Howland Cultural Center, #BeaconNy Vickie Raabin &amp; Chris Raabe #blues #soul 8pm  @LocalMotionWVKR @hiddencitiesnyc 845-831-4988",0.0,0.0,0.0,0.25
@10carley what a sulky pants!,0.0,0.0,0.0,0.396
@1NatalieMaines Can you imagine being the person who has to spray tan him? ,0.0,0.28,0.0,0.0
@1NatalieMaines Can you imagine being the person who has to spray tan him? #shudder,0.0,0.491,0.0,0.0
@1VoiceMatters @MichaelTPremo just got wind of #MenForChoice and it doesn't infuriate me. Just makes me sad for the generation.,0.438,0.0,0.0,0.0
"@5ftanomaly aside from that i'm all about pleasing the individual that i'm involved with, my pleasure comes from their pleasure.",0.0,0.0,0.558,0.0
@6itmap I can't help but feel melancholic!,0.0,0.0,0.0,0.75
@88Palouseriver @ABC @NRA I rejoice everything time some moron is taken out of the genetics pool.,0.0,0.0,0.417,0.0
@97_aleix having a terrific game and not at all fazed #MCFC,0.0,0.292,0.0,0.0
@ADenkyirah Happy birthday! Hope you have a wonderful day filled with lots of joy and laughter &lt;3 (despite tumblr being a jerk- once again),0.0,0.0,0.854,0.0
@AHSFX thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 ,0.0,0.854,0.0,0.0
@AHSFX thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 #horrific,0.0,0.875,0.0,0.0
"@AJStylesOrg I know they have you a scripted ego maniac but, I was so elated to hear that you are a devout Christian like myself. Phenomanal",0.0,0.0,0.577,0.0
"@AMB4JC @drtonyevans It's our job, the job of people who r still sane,still ok in life, to help the lost to find themselves &amp; love eachother",0.0,0.0,0.0,0.214
"@ANI_news #Pakistan should stop cross border #terrorism if they really need solution for #KashmirIssue. @narendramodi sir, #India should act",0.0,0.688,0.0,0.0
@AOLUK @JamesHayr @TheDrum Anychance of addressing the communication I sent to you yesterday??? I still haven't had any contact ,0.0,0.312,0.0,0.0
@AOLUK @JamesHayr @TheDrum Anychance of addressing the communication I sent to you yesterday??? I still haven't had any contact #shocking,0.0,0.542,0.0,0.0
@APkrawczynski   Any possibly KG is being bought out as a player so that he can buy in from Glen as a minority owner? ,0.0,0.0,0.25,0.0
@AQpk which was worse than expected and hilarious too. no one will even remember.,0.0,0.0,0.479,0.0
@ATTCares why do I have 2 wait 48 hours to call YOU back to cancel an order I JUST placed after already spending 2 hours on the phone?! ,0.0,0.0,0.0,0.464
@ATTCares why do I have 2 wait 48 hours to call YOU back to cancel an order I JUST placed after already spending 2 hours on the phone?! #sad,0.0,0.0,0.0,0.646
@A_RockasThe U.S. has added years to the Syrian conflict by arming the 'rebel' army. You would think that Iraq had sunk in with Kerry.,0.0,0.0,0.0,0.417
@AaronGoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone,0.458,0.0,0.0,0.0
"@ActualFlatticus @veggie64_leslie @mtracey Call me a pessimist, but I don't think therapy can fix whatever is wrong with Anthony Weiner.",0.0,0.0,0.0,0.479
"@AdamAaronovich Well, there's no need to sulk. You can always request a song, you know.",0.0,0.0,0.0,0.438
"@AdamCimmering Boro are at the OS before then, they could give the stewards a good work out. Chelsea will get about 8k, will be lively.",0.0,0.0,0.32,0.0
"@AdsByFlaherty And you're cheerfully defending a group of unchecked, armed thugs who've shown a history of racism, violence, and lies.",0.0,0.0,0.104,0.0
@AerLingus #business class #Los Angeles to Dublin #destroyed luggage #60 day customer response time #unhappy customer,0.0,0.0,0.0,0.583
@AgentTinsley I believe that's what you call the fury of the righteous.,0.5,0.0,0.0,0.0
@AimiSyafiqahR go check up with your bf. He'll give u strength with just one smile. #TOPno1,0.0,0.0,0.5,0.0
"@AlamRahman today which can impact the signal, I'm afraid :-( Our engineers are working to have this resolved by this evening and you'll",0.0,0.542,0.0,0.0
@AlanAlanconway Same it's good but not great.Don't Breathe is the horror film of the month for me. My Fav horror film of the year (so far),0.0,0.292,0.0,0.0
@Alanafergusson snap meee,0.521,0.0,0.0,0.0
@AlbertBreer @jetswhispers Be sure and switch it over to cable news - cheery,0.0,0.0,0.625,0.0
@AldiToHarrods I'm still too nervous to try it. I need to man up and give it ago.,0.0,0.75,0.0,0.0
"@AliceGoodman17 i dunno, I'm getting less of the spacious lovely autumnal melancholy from our present apocalypse",0.0,0.0,0.0,0.521
@Aliki111 Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,0.0,0.562,0.0,0.0
"@AllegedLowbrow It's 'Eye-for-Eye'. Indian Army never forgives, Never Forgets. They always take revenge, Pakistan breaks laws, I.A follows",0.562,0.0,0.0,0.0
@AllredMD @KerryCallen @thismanthispete Kirby's Black Panther in a cool animated panel.,0.0,0.0,0.375,0.0
"@AllyTheRipper @ProoF @SpaitoGaming every horror movie that frightened me as a child i.e. 'IT', Halloween movies all of them, nightmare on..",0.0,0.72,0.0,0.0
@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country).  #wakeupcall,0.0,0.657,0.0,0.0
@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country). #despair #wakeupcall,0.0,0.655,0.0,0.625
"@AnneMarieIAm Heard #alarm 1. time in Germany today #youFM, TG finally .. and far far too late. Germany always late w UK artists!!ðŸ˜¡ðŸ˜ ",0.0,0.521,0.0,0.0
"@AphoticSanguine â€”but be a little playful. \n\nHe hesitantly pulls away, just enough so he could get words out, lips brushing againstâ€”",0.0,0.0,0.46,0.0
@ArcadianLuthier -- taking out his feelings on Kei unfairly. His lips form a frown as he tries to walk away.,0.521,0.0,0.0,0.521
@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.,0.854,0.0,0.0,0.0
@ArtyBagger With or without cake seeing your wee cheery face is always a joy xx,0.0,0.0,0.729,0.0
@Ashleyavitia_ don't leave me ,0.0,0.0,0.0,0.583
@Ashleyavitia_ don't leave me #sad,0.0,0.0,0.0,0.875
"@AskPS_UK not received verification email, asked for it to be resent 5 times still nothing.",0.604,0.0,0.0,0.0
@AudreyKare i'm like half expecting some rabid troll to come into my mentions accusing me of being a csa apologist or something lmao,0.479,0.0,0.0,0.0
@AuntieSupreme @KimberlyCarole y'all found me to express yalls displeasure. ðŸ˜‰,0.438,0.0,0.0,0.0
@Aurena1701 @AngryOrchard he didn't sting me luckily. He just flew off happy and drunk. Lolololol,0.146,0.0,0.0,0.0
@Austin4evaLEEDS fuming!,0.625,0.0,0.0,0.0
@Avanquest i have unsubscribed 3 times from your spam emails still coming? STOP THE EMAILS #avanquest #software ,0.0,0.438,0.0,0.0
@Avanquest i have unsubscribed 3 times from your spam emails still coming? STOP THE EMAILS #avanquest #software #terrible,0.0,0.438,0.0,0.0
"@BBCNews ðŸ˜ scared of their own horror story they wrote, afraid of the #terror they spread, will #europe start WW3 in 2017 anniversary of WW1",0.0,0.708,0.0,0.0
@BBCPolitics @BBCNews I'd rather leave my child with @BorisJohnson ,0.0,0.438,0.0,0.0
@BBCPolitics @BBCNews I'd rather leave my child with @BorisJohnson #shudder,0.0,0.833,0.0,0.0
@BBCSport too dull for the UK.,0.0,0.0,0.0,0.438
@BBCTomEnglish @TimesSport And the dreadful Franglaise.,0.0,0.292,0.0,0.0
@BBHOH #terrible Paul so deserved that win!!! #bbfail,0.0,0.354,0.0,0.0
@BBHOH #terrible Paul so deserved that win!!! #movie #ChildrenOfMen.\n\n#cages  #refugees,0.0,0.312,0.0,0.0
@BBs_Coffee somebody needs tell staff at Reading cappuccino is supposed to have a thick layer of foam and coffee should be hot #awful again,0.0,0.458,0.0,0.0
"@BIGGKATZ BUT arms (focused rage) is overpowered, it will be getting nerfed. It'll still be stronger than fury though",0.468,0.0,0.0,0.0
