criterion,score,description,example
future_prospects,1,Casual or potential future plans ,"“Hey Stephen, I could give you fifty reasons / Why I should be the one you choose” (Hey Stephen)"
future_prospects,2,Some set future plans ,"“Morning, his place / Burnt toast, Sunday / You keep his shirt / He keeps his word” (You Are In Love) "
future_prospects,3,Marriage/Bound for life ,"“I’ll be eighty-seven, you’ll be eighty-nine / I’ll still look at you like the stars that shine” (Mary’s Song) "
feelings_of_male,-3,He tells all his friends he hates her ,“Did you think I wouldn’t hear all the things you said about me?” (This Is Why We Can’t Have Nice Things)
feelings_of_male,-2,He makes a face when her name is mentioned but doesn’t publicly hate on her,"“Why’d I have to break what I love so much? / It’s on your face, and I’m to blame” (Afterglow) "
feelings_of_male,-1,He doesn’t want to date but likes her as a friend,And you can’t see me wanting you the way you want her / But you are everything to me” (Invisible)
feelings_of_male,0,No information/Ambiguous,(Dancing With Our Hands Tied)
feelings_of_male,1,He expressed casual interest in a relationship ,“I say ’I’ve heard that you’ve been out and about with some other girl.’ / He says ’What you heard is true but I / can’t stop thinking about you”’ (Style)
feelings_of_male,2,They are dating but not that seriously (she hasn’t met his parents) ,“But you pull me in and I’m a little more brave / It’s the first kiss” (Fearless)
feelings_of_male,3,Public declaration of love/commitment,“I never wanna see you walk away” (ME!) 
togetherness,-3,Barriers to joint actions ,"Distance: “But you’re in London and I break down / ’Cause it’s not fair that you’re not around” (Come Back...Be Here) 
Another Woman/Man: “She said ’James, get in, let’s drive’ / Those days turned into nights / Slept next to her, but / I dreamt of you” (betty)"
togetherness,-2,No joint actions,(The Man)
togetherness,-1,More things apart than together ,"(Holy Ground, You Belong With Me)"
togetherness,0,Equal amounts of time together and apart ,"(willow, Treacherous)"
togetherness,1,More things together than apart ,"(Stay Beautiful, New Year’s Day)"
togetherness,2,They do everything together,(Paper Rings)
togetherness,3,No identity as an individual ,“I’m only up when you’re not down / Don’t wanna fly if you’re still on the ground” (I’m Only Me When I’m With You) 
