song_name,album,happy_sad,relationship,feelings_of_self,glass_half_full,stages,tempo,seriousness,future_prospects,feelings_of_male,togetherness,lyrics,spotify_uri,url,description
last kiss,Speak Now,-2,-4,0,-1,-1,0,-1,-2,0,-1,"I still remember the look on your face
 Lit through the darkness at 1:58
 The words that you whispered for just us to know
 You told me you loved me, so why did you go away?
 Away
 
 I do recall now, the smell of the rain
 Fresh on the pavement, I ran off the plane
 That July ninth, the beat of your heart
 It jumps through your shirt, I can still feel your arms
 
 But now I'll go
 Sit on the floor wearing your clothes
 All that I know is I don't know
 How to be something you miss
 
 I never thought we'd have a last kiss
 I never imagined we'd end like this
 Your name, forever the name on my lips
 
 I do remember the swing of your step
 The life of the party, you're showing off again
 And I'd roll my eyes and then you'd pull me in
 I'm not much for dancing, but for you, I did
 Because I love your handshake, meeting my father
 I love how you walk with your hands in your pockets
 How you'd kiss me when I was in the middle of saying something
 There's not a day I don't miss those rude interruptions
   
 And I'll go
 Sit on the floor wearing your clothes
 All that I know is I don't know
 How to be something you miss
 
 I never thought we'd have a last kiss
 I never imagined we'd end like this
 Your name, forever the name on my lips, ooh
 
 So I'll watch your life in pictures like I used to watch you sleep
 And I feel you forget me like I used to feel you breathe
 And I'll keep up with our old friends just to ask them how you are
 Hope it's nice where you are
 
 And I hope the sun shines and it's a beautiful day
 And something reminds you you wish you had stayed
 You can plan for a change in the weather and time
 But I never planned on you changing your mind
 
 So, I'll go
 Sit on the floor wearing your clothes
 All that I know is I don't know
 How to be something you miss
 I never thought we'd have a last kiss
 I never imagined we'd end like this
 Your name, forever the name on my lips
 
 Just like our last kiss
 Forever the name on my lips
 Forever the name on my lips
 Just like our last ",1D27z8xNzjW0Mwwt1NCWhJ,https://open.spotify.com/track/1D27z8xNzjW0Mwwt1NCWhJ,"This song is about reminiscing about a past relationship, remembering the small moments, and expressing longing and love for the other person."
long live,Speak Now,5,1,2,2,1,0,0,0,0,1,"I said, ""Remember this moment""
 In the back of my mind
 The time we stood with our shaking hands
 The crowds in stands went wild
 We were the kings and the queens
 And they read off our names
 The night you danced like you knew our lives
 Would never be the same
 You held your head like a hero
 On a history book page
 It was the end of a decade
 But the start of an age
 
 Long live the walls we crashed through
 How the kingdom lights shined just for me and you
 I was screaming, ""Long live all the magic we made""
 And bring on all the pretenders
 One day, we will be remembered
 
 I said, ""Remember this feeling""
 I pass the pictures around
 Of all the years that we stood there on the sidelines
 Wishing for right now
 We are the kings and the queens
 You traded your baseball cap for a crown
 When they gave us our trophies
 And we held them up for our town
 And the cynics were outraged
 Screaming, ""This is absurd""
 'Cause for a moment, a band of thieves
 In ripped up jeans got to rule the world
   
 Long live the walls we crashed through
 How the kingdom lights shined just for me and you
 I was screaming, ""Long live all the magic we made""
 And bring on all the pretenders, I'm not afraid
 Long live all the mountains we moved
 I had the time of my life fighting dragons with you
 I was screaming, ""Long live that look on your face""
 And bring on all the pretenders
 One day, we will be remembered
 
 Hold on to spinning around
 Confetti falls to the ground
 May these memories break our fall
 Will you take a moment? Promise me this
 That you'll stand by me forever
 But if, God forbid, fate should step in
 And force us into a goodbye
 If you have children some day
 When they point to the pictures
 Please, tell 'em my name
 Tell 'em how the crowds went wild
 Tell 'em how I hope they shine
 Long live the walls we crashed through
 I had the time of my life with you
 Long, long live the walls we crashed through
 How the kingdom lights shined just for me and you
 And I was screaming, ""Long live all the magic we made""
 And bring on all the pretenders, I'm not afraid
 Singing, ""Long live all the mountains we moved""
 I had the time of my life fighting dragons with you
 And long, long live that look on your face
 And bring on all the pretenders
 One day, we will be remembered ",7DjCRhhFo9PPzca1BjMLcf,https://open.spotify.com/track/7DjCRhhFo9PPzca1BjMLcf,"This song is about cherishing and celebrating a memorable moment in time, looking back at past experiences, and hoping to be remembered."
mean,Speak Now,6,-7,1,0,2,3,-3,-3,0,-1,"You, with your words like knives
 And swords and weapons that you use against me
 You have knocked me off my feet again
 Got me feeling like I'm nothing
 You, with your voice like nails on a chalkboard
 Calling me out when I'm wounded
 You, pickin' on the weaker man
 
 Well, you can take me down
 With just one single blow
 But you don't know what you don't know
 
 Someday, I'll be livin' in a big, ole city
 And all you're ever gonna be is mean
 Someday, I'll be big enough so you can't hit me
 And all you're ever gonna be is mean
 Why you gotta be so mean?
 
 You, with your switching sides
 And your wildfire lies and your humiliation
 You have pointed out my flaws again
 As if I don't already see them
 I walk with my head down, trying to block you out
 'Cause I'll never impress you
 I just wanna feel okay again
   
 I bet you got pushed around
 Somebody made you cold
 But the cycle ends right now
 'Cause you can't lead me down that road
 And you don't know what you don't know
 
 Someday, I'll be livin' in a big, ole city
 And all you're ever gonna be is mean
 Someday, I'll be big enough so you can't hit me
 And all you're ever gonna be is mean
 Why you gotta be so mean?
 
 And I can see you years from now in a bar
 Talking over a football game
 With that same big, loud opinion
 But nobody's listening
 Washed up and ranting about the same old bitter things
 Drunk and grumblin' on about how I can't sing
 But all you are is mean
 
 All you are is mean
 And a liar, and pathetic
 And alone in life, and mean
 And mean, and mean, and mean
 But someday, I'll be livin' in a big, ole city
 And all you're ever gonna be is mean
 Yeah, someday, I'll be big enough so you can't hit me
 And all you're ever gonna be is mean
 Why you gotta be so mean?
 Someday, I'll be livin' in a big, ole city
 (Why you gotta be so mean?)
 And all you're ever gonna be is mean
 (Why you gotta be so mean?)
 Someday, I'll be big enough so you can't hit me
 (Why you gotta be so mean?)
 And all you're ever gonna be is mean
 Why you gotta be so mean? ",4N60XfcTE1ysLZGbYgnYXq,https://open.spotify.com/track/4N60XfcTE1ysLZGbYgnYXq,"This song is about standing up to a mean-spirited person, expressing a desire to rise above them, and hoping for their meanness to be exposed."
mine,Speak Now,6,10,1,2,1,2,3,3,3,1,"Oh-oh, oh-oh
 Oh-oh, oh-oh
 
 You were in college working part time waitin' tables
 Left a small town, never looked back
 I was a flight risk with a fear of falling
 Wonderin' why we bother with love if it never lasts
 
 I say, ""Can you believe it?""
 As we're lyin' on the couch
 The moment I could see it
 Yes, yes, I can see it now
 
 Do you remember, we were sittin' there by the water?
 You put your arm around me for the first time
 You made a rebel of a careless man's careful daughter
 You are the best thing that's ever been mine
 
 Flash forward and we're takin' on the world together
 And there's a drawer of my things at your place
 You learn my secrets and you figure out why I'm guarded
 You say we'll never make my parents' mistakes
   
 But we got bills to pay
 We got nothing figured out
 When it was hard to take
 Yes, yes, this is what I thought about
 
 Do you remember, we were sittin' there by the water?
 You put your arm around me for the first time
 You made a rebel of a careless man's careful daughter
 You are the best thing that's ever been mine
 Do you remember all the city lights on the water?
 You saw me start to believe for the first time
 You made a rebel of a careless man's careful daughter
 You are the best thing that's ever been mine
 
 Oh-oh, oh-oh
 
 And I remember that fight, 2:30AM
 As everything was slipping right out of our hands
 I ran out crying and you followed me out into the street
 Braced myself for the goodbye
 'Cause that's all I've ever known
 Then you took me by surprise
 You said, ""I'll never leave you alone""
 You said, ""I remember how we felt sitting by the water
 And every time I look at you, it's like the first time
 I fell in love with a careless man's careful daughter
 She is the best thing that's ever been mine""
 
 Hold on, make it last
 Hold on, never turn back
 (Hold on) You made a rebel of a careless man's careful daughter (Make it last)
 (Hold on) You are the best thing that's ever been mine (Hold on)
 
 Yes, yes, do you believe it? (Hold on)
 Yes, yes, we're gonna make it now (Hold on)
 Yes, yes, I can see it
 Yes, yes, I can see it now ",6LZaxlycSWrJZ4Volb25qx,https://open.spotify.com/track/6LZaxlycSWrJZ4Volb25qx,"This song is about reminiscing on a relationship, from its beginning by the water to challenges faced, and the promise of staying together despite uncertainties."
ours,Speak Now,9,6,3,1,3,2,2,2,3,-1,"Elevator buttons and morning air
 Strangers' silence makes me want to take the stairs
 If you were here, we'd laugh about their vacant stares
 But right now, my time is theirs
 Seems like there's always someone who disapproves
 They'll judge it like they know about me and you
 And the verdict comes from those with nothing else to do
 The jury's out, but my choice is you
 
 So don't you worry your pretty little mind
 People throw rocks at things that shine
 And life makes love look hard
 The stakes are high, the water's rough
 But this love is ours
 
 You never know what people have up their sleeves
 Ghosts from your past gonna jump out at me
 Lurking in the shadows with their lip gloss smiles
 But I don't care, 'cause right now, you're mine
 And you'll say
 
 Don't you worry your pretty little mind
 People throw rocks at things that shine
 And life makes love look hard
 The stakes are high, the water's rough
 But this love is ours
   
 And it's not theirs to speculate if it's wrong and
 Your hands are tough, but they are where mine belong and
 I'll fight their doubt and give you faith with this song for you
 'Cause I love the gap between your teeth
 And I love the riddles that you speak
 And any snide remarks from my father about your tattoos
 Will be ignored, 'cause my heart is yours
 
 So don't you worry your pretty little mind
 People throw rocks at things that shine
 And life makes love look hard
 And don't you worry your pretty little mind
 People throw rocks at things that shine
 But they can't take what's ours
 They can't take what's ours
 The stakes are high, the water's rough
 But this love is ours ",1EQn3Uc5AyUXoiPLeyCrrg,https://open.spotify.com/track/1EQn3Uc5AyUXoiPLeyCrrg,"This song is about a strong, defiant love, overcoming judgments and challenges, and cherishing the connection between two people despite external disapproval."
sparks fly,Speak Now,8,3,2,2,2,2,1,1,0,1,"The way you move is like a full on rainstorm and I'm a house of cards
 You're the kind of reckless that should send me runnin'
 But I kinda know that I won't get far
 And you stood there in front of me, just close enough to touch
 Close enough to hope you couldn't see what I was thinkin' of
 
 Drop everything now, meet me in the pouring rain
 Kiss me on the sidewalk, take away the pain
 'Cause I see sparks fly whenever you smile
 Get me with those green eyes, baby, as the lights go down
 Give me something that'll haunt me when you're not around
 'Cause I see sparks fly whenever you smile
 
 My mind forgets to remind me you're a bad idea
 You touch me once and it's really somethin'
 You find I'm even better than you imagined I would be
 I'm on my guard for the rest of the world
 But with you, I know it's no good
 And I could wait patiently, but I really wish you would
 
 Drop everything now, meet me in the pouring rain
 Kiss me on the sidewalk, take away the pain
 'Cause I see sparks fly whenever you smile
 Get me with those green eyes, baby, as the lights go down
 Give me something that'll haunt me when you're not around
 'Cause I see sparks fly whenever you smile
   
 I run my fingers through your hair and watch the lights go wild
 Just keep on keepin' your eyes on me, it's just wrong enough to make it feel right
 And lead me up the staircase, won't you whisper soft and slow?
 I'm captivated by you, baby, like a firework show
 
 Drop everything now, meet me in the pouring rain
 Kiss me on the sidewalk (Ah-ah), take away the pain
 'Cause I see sparks fly whenever you smile
 Get me with those green eyes, baby, as the lights go down
 Give me something that'll haunt me when you're not around
 'Cause I see sparks fly whenever you smile
 
 And the sparks fly
 Oh, baby, smile
 And the sparks fly ",1q8E1FfFuhd12c5JcJwPxQ,https://open.spotify.com/track/1q8E1FfFuhd12c5JcJwPxQ,"This song is about the intense attraction to someone, the excitement and sparks it creates, and the desire for a deeper connection despite knowing it might be a bad idea."
speak now,Speak Now,8,4,3,0,3,2,0,2,3,-1,"I am not the kind of girl
 Who should be rudely bargin' in on a white veil occasion
 But you are not the kind of boy
 Who should be marrying the wrong girl
 I sneak in and see your friends
 And her snotty little family all dressed in pastel
 And she is yelling at a bridesmaid
 Somewhere back inside a room
 Wearin' a gown shaped like a pastry
 
 This is surely not what you thought it would be
 I lose myself in a daydream
 Where I stand and say
 
 Don't say yes, run away now
 I'll meet you when you're out
 Of the church, at the back door
 Don't wait or say a single vow
 You need to hear me out
 And they said, ""Speak now""
 
 Fond gestures are exchanged
 And the organ starts to play a song that sounds like a death march
 And I am hiding in the curtains
 It seems that I was uninvited by your lovely bride-to-be
   
 She floats down the aisle like a pageant queen
 But I know you wish it was me
 You wish it was me, don't you?
 
 Don't say yes, run away now
 I'll meet you when you're out
 Of the church, at the back door
 Don't wait or say a single vow
 You need to hear me out
 And they said, ""Speak now""
 Don't say yes, run away now (Run away now)
 I'll meet you when you're out
 Of the church, at the back door
 Don't wait or say a single vow (Say a single vow)
 Your time is running out
 And they said, ""Speak now""
 
 Ooh (Run away now), la
 Ooh (Say a single vow), ooh
 
 I hear the preacher say
 ""Speak now or forever hold your peace""
 There's the silence, there's my last chance
 I stand up with shaky hands, all eyes on me
 Horrified looks from everyone in the room
 But I'm only lookin' at you
 I am not the kind of girl
 Who should be rudely bargin' in on a white veil occasion
 But you are not the kind of boy
 Who should be marrying the wrong girl, haha
 
 So, don't say yes, run away now
 I'll meet you when you're out
 Of the church, at the back door
 Don't wait or say a single vow
 You need to hear me out
 They said, ""Speak now""
 And you say, ""Let's run away now (Run away now)
 I'll meet you when I'm out
 Of my tux, at the back door
 Baby, I didn't say my vows (Say a single vow)
 So glad you were around
 When they said, 'Speak now'"" ",1nYWTzy5zu3zEPNgB1sItW,https://open.spotify.com/track/1nYWTzy5zu3zEPNgB1sItW,"This song is about a person crashing a wedding, believing the groom should be with her instead of the bride, expressing their desire for him to run away with her."
the story of us,Speak Now,-3,-6,-1,-2,-2,2,-1,-2,-2,-1,"I used to think, one day, we'd tell the story of us
 How we met and the sparks flew instantly
 And people would say, ""They're the lucky ones""
 I used to know my place was the spot next to you
 Now, I'm searching the room for an empty seat
 'Cause lately, I don't even know what page you're on
 
 Oh, a simple complication
 Miscommunications lead to fallout
 So many things that I wish you knew
 So many walls up, I can't break through
 
 Now, I'm standin' alone in a crowded room
 And we're not speakin'
 And I'm dyin' to know
 Is it killin' you like it's killin' me? Yeah
 I don't know what to say since the twist of fate
 When it all broke down
 And the story of us looks a lot like a tragedy now
 
 Next chapter
   
 How'd we end up this way?
 See me nervously pulling at my clothes and trying to look busy
 And you're doin' your best to avoid me
 I'm starting to think, one day, I'll tell the story of us
 How I was losing my mind when I saw you here
 But you held your pride like you should've held me
 
 Oh, I'm scared to see the ending
 Why are we pretending this is nothin'?
 I'd tell you I miss you, but I don't know how
 I've never heard silence quite this loud
 
 Now, I'm standin' alone in a crowded room
 And we're not speakin'
 And I'm dyin' to know
 Is it killin' you like it's killin' me? Yeah
 I don't know what to say since the twist of fate
 When it all broke down
 And the story of us looks a lot like a tragedy now
 
 This is lookin' like a contest
 Of who can act like they care less
 But I liked it better when you were on my side
 The battle's in your hands now
 But I would lay my armor down
 If you said you'd rather love than fight
 So many things that you wish I knew
 But the story of us might be ending soon
 
 Now, I'm standin' alone in a crowded room
 And we're not speakin'
 And I'm dyin' to know
 Is it killin' you like it's killin' me? Yeah
 And I don't know what to say since the twist of fate
 When it all broke down
 And the story of us looks a lot like a tragedy now, now, now
 And we're not speakin'
 And I'm dyin' to know
 Is it killin' you like it's killin' me? Yeah
 I don't know what to say since the twist of fate
 'Cause we're going down
 And the story of us looks a lot like a tragedy now
 
 The end ",19tHCfzUSoy5HkpxcmbA0A,https://open.spotify.com/track/19tHCfzUSoy5HkpxcmbA0A,"This song is about a relationship's downfall, filled with miscommunication, distance, and longing, as both individuals struggle to face the reality of their crumbling love story."
superman,Speak Now,1,-2,-1,-1,1,2,1,0,0,-3,"Tall, dark, and superman
 He puts papers in his briefcase and drives away
 To save the world or go to work
 It's the same thing to me
 He's got his mother's eyes, his father's ambition
 I wonder if he knows how much that I miss him
 I hang on every word you say, yay
 And you smile and say, ""How are you?”
 I say, ""Just fine""
 I always forget to tell you, I love you
 I love you forever
 
 I watch superman fly away
 You've got a busy day today
 Go save the world, I'll be around
 And I watch superman fly away
 Come back, I'll be with you someday
 I'll be right here on the ground
 When you come back down
 
 Tall, dark and beautiful
 He's complicated, he's irrational
 But I hope someday you'll take me away and save the day, yeah
 Something in his deep brown eyes has me sayin'
 He's not all bad like his reputation
 And I can't hear one single word they say
 And you'll leave, got places to be and I'll be okay
 I always forget to tell you I love you
 I loved you from the very first day
   
 I watch superman fly away
 You've got a busy day today
 Go save the world, I'll be around
 I watch superman fly away
 Come back, I'll be with you someday
 I'll be right here on the ground
 When you come back down
 
 And I watch you fly around the world
 And I hope you don't save some other girl
 Don't forget, don't forget about me
 I'm far away, but I never let you go
 I'm love-struck and looking out the window
 Don't forget, don't forget where I'll be
 Right here, wishing the flowers were from you
 Wishing the card was from you
 Wishing the call was from you
 'Cause I loved you from the very first day
 
 I watch superman fly away
 You've got a busy day today
 Go save the world, I'll be around
 Forever and ever here
 I watch superman fly away
 I swear, I'll be with you someday
 I'll be right here on the ground
 When you come back down
 La, la, la, la, la, la
 La, la, la, la, la, la
 When you come back down ",2R7C9dDqv1UPycvepBFziA,https://open.spotify.com/track/2R7C9dDqv1UPycvepBFziA,"This song is about longing for a busy, superhero-like lover, expressing love and admiration, and hoping to be remembered and reunited in the future."
22,Red,2,-1,0,1,1,0,0,0,0,-1,"It feels like a perfect night
 To dress up like hipsters
 And make fun of our exes
 Uh-uh, uh-uh
 It feels like a perfect night
 For breakfast at midnight
 To fall in love with strangers
 Uh-uh, uh-uh
 
 Yeah
 We're happy, free, confused, and lonely at the same time
 It's miserable and magical, oh yeah
 Tonight's the night when we forget about the deadlines
 It's time, oh-oh
 
 I don't know about you
 But I'm feelin' twenty-two
 Everything will be alright if
 You keep me next to you
 You don't know about me
 But I'll bet you want to
 Everything will bе alright if
 We just keep dancin' like we'rе
 Twenty-two
 Twenty-two
   
 It seems like one of those nights
 This place is too crowded
 Too many cool kids
 Uh-uh, uh-uh (Who's Taylor Swift anyway? Ew)
 It seems like one of those nights
 We ditch the whole scene
 And end up dreamin'
 Instead of sleepin'
 
 Yeah
 We're happy, free, confused, and lonely in the best way
 It's miserable and magical, oh, yeah
 Tonight's the night when we forget about the heartbreaks
 It's time, oh-oh
 
 (Hey)
 I don't know about you
 But I'm feelin' twenty-two
 Everything will be alright if (Ooh)
 You keep me next to you
 You don't know about me
 But I'll bet you want to
 Everything will be alright if (Alright)
 We just keep dancin' like we're
 Twenty-two (Oh, oh, oh, oh, oh)
 Twenty-two (I don't know about you)
 Twenty-two
 Twenty-two (Ooh)
 It feels like one of those nights
 We ditch the whole scene
 It feels like one of those nights
 We won't be sleepin'
 It feels like one of those nights
 You look like bad news
 I gotta have you
 I gotta have you
 
 Ooh, oh
 Yeah, hey, yeah
 
 (Hey)
 I don't know about you (I don't know about you)
 But I'm feelin' twenty-two
 Everything will be alright if (Ooh, oh-oh)
 You keep me next to you
 You don't know about me (You don't know about me)
 But I'll bet you want to
 Everything will be alright if
 We just keep dancin' like we're (Dance like we're twenty-two)
 Twenty-two (Ooh, woah-oh-oh-oh)
 Twenty-two (Dancin' like)
 Twenty-two (Yeah, yeah)
 Twenty-two (Yeah, yeah, yeah)
 It feels like one of those nights (Twenty-two)
 We ditch the whole scene
 It feels like one of those nights (Twenty-two)
 We won't be sleepin'
 It feels like one of those nights (Twenty-two)
 You look like bad news
 I gotta have you
 I gotta have you ",3yII7UwgLF6K5zW3xad3MP,https://open.spotify.com/track/3yII7UwgLF6K5zW3xad3MP,"This song is about embracing the carefree spirit of being twenty-two, enjoying the night with friends, and finding excitement in the moment."
all too well,Red,-6,-7,-1,-2,-3,0,-2,-2,-2,-1,"I walked through the door with you, the air was cold
 But something 'bout it felt like home somehow
 And I left my scarf there at your sister's house
 And you've still got it in your drawer, even now
 
 Oh, your sweet disposition and my wide-eyed gaze
 We're singing in the car, getting lost upstate
 Autumn leaves falling down like pieces into place
 And I can picture it after all these days
 
 And I know it's long gone and
 That magic's not here no more
 And I might be okay, but I'm not fine at all
 Oh, oh, oh
 
 'Causе there we arе again on that little town street
 You almost ran the red 'cause you were lookin' over at me
 Wind in my hair, I was there
 I remember it all too well
 
 Photo album on the counter, your cheeks were turning red
 You used to be a little kid with glasses in a twin-sized bed
 And your mother's telling stories 'bout you on the tee-ball team
 You taught me 'bout your past, thinking your future was me
   
 And I know it's long gone and
 There was nothing else I could do
 And I forget about you long enough
 To forget why I needed to
 'Cause there we are again in the middle of the night
 We're dancing 'round the kitchen in the refrigerator light
 Down the stairs, I was there
 I remember it all too well, yeah
 
 And maybe we got lost in translation
 Maybe I asked for too much
 But maybe this thing was a masterpiece
 'Til you tore it all up
 Running scared, I was there
 I remember it all too well
 And you call me up again
 Just to break me like a promise
 So casually cruel in the name of being honest
 I'm a crumpled up piece of paper lying here
 'Cause I remember it all, all, all
 Too well
 Time won't fly, it's like I'm paralyzed by it
 I'd like to be my old self again, but I'm still trying to find it
 After plaid shirt days and nights when you made me your own
 Now you mail back my things and I walk home alone
 But you keep my old scarf from that very first week
 'Cause it reminds you of innocence and it smells like me
 You can't get rid of it
 'Cause you remember it all too well, yeah
 
 'Cause there we are again when I loved you so
 Back before you lost the one real thing you've ever known
 It was rare, I was there
 I remember it all too well
 
 Wind in my hair, you were there
 You remember it all
 Down the stairs, you were there
 You remember it all
 It was rare, I was there
 I remember it all too well ",1q3RiD1tIWUpGsNFADMlvl,https://open.spotify.com/track/1q3RiD1tIWUpGsNFADMlvl,"This song is about reminiscing about a past relationship, recalling shared moments, and reflecting on the pain of lost love."
begin again,Red,2,7,-1,1,2,0,2,2,2,1,"Took a deep breath in the mirror
 He didn't like it when I wore high heels, but I do
 Turn the lock and put my headphones on
 He always said he didn't get this song, but I do, I do
 
 I walked in, expectin' you'd be late
 But you got here early and you stand and wave, I walk to you
 You pull my chair out and help me in
 And you don't know how nice that is, but I do
 
 And you throw your head back laughin' like a little kid
 I think it's strange that you think I'm funny 'cause he never did
 I've been spendin' the last eight months
 Thinkin' all love ever does is break and burn and end
 But on a Wеdnesday in a café, I watched it begin again
 
 You said you nеver met one girl who
 Had as many James Taylor records as you, but I do
 We tell stories and you don't know why
 I'm comin' off a little shy, but I do
 
 But you throw your head back laughin' like a little kid
 I think it's strange that you think I'm funny 'cause he never did
 I've been spendin' the last eight months
 Thinkin' all love ever does is break and burn and end
 But on a Wednesday in a café, I watched it begin again
   
 And we walked down the block to my car
 And I almost brought him up
 But you start to talk about the movies
 That your family watches every single Christmas
 And I wanna talk about that
 And for the first time, what's past is past
 
 'Cause you throw your head back laughin' like a little kid
 I think it's strange that you think I'm funny 'cause he never did
 I've been spendin' the last eight months
 Thinkin' all love ever does is break and burn and end
 But on a Wednesday in a café, I watched it begin again
 
 On a Wednesday in a café, I watched it begin again ",48A0aShHlovDfTMucMrE66,https://open.spotify.com/track/48A0aShHlovDfTMucMrE66,"This song is about a woman rediscovering the beauty of love through a new relationship, after experiencing past heartbreaks and believing love only brings pain."
come back...be here,Red,-6,-2,-3,-1,-2,0,0,-1,2,-3,"You said it in a simple way
 4 AM, the second day
 How strange that I don't know you at all
 Stumbled through the long goodbye
 One last kiss, then catch your flight
 Right when I was just about to fall
 
 I told myself, ""Don't get attached""
 But in my mind, I play it back
 Spinning faster than the plane that took you
 
 And this is when the feelin' sinks in
 I don't wanna miss you like this
 Come back, be here
 Come back, be here
 I guess you're in New York today
 I don't wanna need you this way
 Come back, be here
 Come back, be here
 
 The delicate beginnin' rush
 The feelin' you can know so much
 Without knowing anything at all
 And now that I can put this down
 If I had known what I know now
 I never would've played so nonchalant
   
 Taxi cabs and busy streets
 That never bring you back to me
 I can't help but wish you took me with you
 
 And this is when the feelin' sinks in
 I don't wanna miss you like this
 Come back, be here
 Come back, be here
 I guess you're in London today
 And I don't wanna need you this way
 Come back, be here
 Come back, be here
 
 Oh, oh
 Oh, oh
 Oh, oh
 
 This is falling in love in the cruelest way
 This is fallin' for you when you are worlds away
 In New York, be here
 But you're in London and I break down
 'Cause it's not fair that you're not around
 This is when the feelin' sinks in
 I don't wanna miss you like this
 Come back, be here
 Come back, be here
 I guess you're in New York today
 And I don't wanna need you this way
 Come back, be here
 Come back, be here
 
 Oh, oh
 I don't wanna miss you like this
 Oh, oh
 
 Come back, be here
 Come back, be here ",4pNApnaUWAL2J4KO2eqokq,https://open.spotify.com/track/4pNApnaUWAL2J4KO2eqokq,"This song is about the pain of longing and missing someone who is far away, expressing the desire for them to return and the difficulty of coping with their absence."
everything has changed,Red,9,8,3,3,3,0,1,2,3,2,"You good to go?
 
 All I knew this mornin' when I woke
 Is I know something now
 Know something now I didn't before
 And all I've seen since eighteen hours ago
 Is green eyes and freckles and your smile
 In the back of my mind makin' me feel like
 
 I just wanna know you better
 Know you better, know you better now
 I just wanna know you better
 Know you better, know you better now
 I just wanna know you better
 Know you better, know you better now
 I just wanna know you
 Know you, know you
 
 'Cause all I know is we said, ""Hello""
 And your eyes look like comin' homе
 All I know is a simple name
 Everything has changеd
 All I know is you held the door
 You'll be mine and I'll be yours
 All I know since yesterday, yeah
 Is everything has changed
   
 And all my walls stood tall, painted blue
 But I'll take 'em down, take 'em down
 And open up the door for you
 And all I feel in my stomach is butterflies
 The beautiful kind, makin' up for lost time
 Takin' flight, makin' me feel like
 
 I just wanna know you better
 Know you better, know you better now
 I just wanna know you better
 Know you better, know you better now
 I just wanna know you better
 Know you better, know you better now
 I just wanna know you
 Know you, know you
 
 'Cause all I know is we said, ""Hello""
 And your eyes look like comin' home
 All I know is a simple name
 Everything has changed
 All I know is you held the door
 You'll be mine and I'll be yours
 All I know since yesterday, yeah
 Is everything has changed
 Come back and tell me why
 I'm feelin' like I've missed you all this time (Oh-oh-oh)
 And meet me there tonight
 And let me know that it's not all in my mind-ind-ind
 
 I just wanna know you better
 Know you better, know you better now
 I just wanna know you
 Know you, know you
 
 All I know is we said, ""Hello""
 And your eyes look like comin' home
 All I know is a simple name
 Everything has changed
 All I know is you held the door
 And you'll be mine and I'll be yours
 All I know since yesterday, yeah
 Is everything has changed
 
 All I know is we said, ""Hello""
 So dust off your highest hopes
 All I know is pourin' rain
 And everything has changed
 All I know is a new found grace
 All my days, I'll know your face
 All I know since yesterday, yeah
 Is everything has changed ",7gdwoOmi258QJq0hmQ4hto,https://open.spotify.com/track/7gdwoOmi258QJq0hmQ4hto,"This song is about a sudden connection with someone, the desire to get to know them better, and the changes that come with this new relationship."
girl at home,Red,5,-3,2,-2,3,2,0,-3,1,-1,"Don't look at me, you got a girl at home
 And everybody knows that, everybody knows that, ah-ah
 Don’t look at me, you got a girl at home
 And everybody knows that
 
 I don't even know her
 But I feel a responsibility
 To do what's upstanding and right
 It’s kinda like a code, yeah
 And you've been getting closer and closer
 And crossing so many lines
 
 And it would be a fine proposition
 If I was a stupid girl
 But, honey, I am no one's exception
 This, I have previously learned
 
 So don't look at me, you got a girl at home
 And everybody knows that, everybody knows that, ah-ah
 Don't look at me, you got a girl at home
 And everybody knows that, еverybody knows that
 I see you turn off your phone
 And now you've got mе alone, and I say
 Don't look at me, you got a girl at home
 And everybody knows that, everybody knows that
   
 I just wanna make sure
 You understand perfectly
 You're the kind of man who makes me sad
 While she waits up
 You chase down the newest thing
 And take for granted what you have
 
 And it would be a fine proposition
 If I was a stupid girl
 And, yeah, I might go with it
 If I hadn’t once been just like her
 
 So don’t look at me, you got a girl at home
 And everybody knows that, everybody knows that, ah-ah
 Don't look at me, you got a girl at home
 And everybody knows that, everybody knows that
 I see you turn off your phone
 And now you’ve got me alone, and I say
 Don't look at me, you got a girl at home
 And everybody knows that, everybody knows that
 
 Oh-oh
 Oh-oh
 Call a cab, lose my number
 You're about to lose your girl
 Call a cab, lose my number
 Let's consider this lesson learned
 
 Don’t look at me, you got a girl at home
 And everybody knows that, everybody knows that, ah-ah
 Don't look at me, you got a girl at home
 And everybody knows that, everybody knows that
 Wanna see you pick up your phone
 And tell her you're coming home
 Don't look at me, you got a girl at home
 And everybody knows that, everybody knows that
 
 It would be a fine proposition
 If I hadn't once been just like her ",0DMVrlMUn01M0IcpDbwgu7,https://open.spotify.com/track/0DMVrlMUn01M0IcpDbwgu7,"This song is about a woman warning a man not to look at her, reminding him that he has a girlfriend, and expressing her disapproval of his actions, while reflecting on her own past experiences."
